,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
0,Renault,"23,290",KWID,2017,Petrol,3.43
1,Tata,"96,177",Harrier,2019,Diesel,12.88
2,Maruti,"14,190",Alto,2018,Petrol,3.86
3,Maruti,"50,969",Celerio,2018,CNG,5.13
4,Honda,"26,736",Jazz,2017,Petrol,6.90
5,Maruti,"34,278",Baleno,2017,Petrol,6.53
6,Maruti,"33,206",Ciaz,2019,Petrol,9.34
7,Mahindra,"46,365",Thar,2017,Diesel,7.72
8,Maruti,"30,480",S-Presso,2020,Petrol,4.50
9,Maruti,"76,734",Swift,2015,Diesel,3.76
10,Maruti,"86,294",Swift,2014,Diesel,4.11
11,Maruti,"39,781",Baleno,2017,Petrol,5.96
12,Maruti,"82,496",Ciaz,2019,Petrol,8.72
13,Hyundai,"45,716",Creta,2018,Petrol,8.99
14,Maruti,"72,880",Wagon,2011,Petrol,1.70
15,BMW,"85,000",X5,2015,Diesel,31.25
16,Ford,"70,000",Endeavour,2017,Diesel,24.60
17,Honda,"75,000",CR-V,2016,Petrol,11.51
18,Mahindra,"62,000",XUV500,2017,Diesel,11.00
19,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
20,Renault,"23,290",KWID,2017,Petrol,3.43
21,Tata,"96,177",Harrier,2019,Diesel,12.88
22,Maruti,"14,190",Alto,2018,Petrol,3.86
23,Maruti,"50,969",Celerio,2018,CNG,5.13
24,Honda,"26,736",Jazz,2017,Petrol,6.90
25,Maruti,"34,278",Baleno,2017,Petrol,6.53
26,Maruti,"33,206",Ciaz,2019,Petrol,9.34
27,Mahindra,"46,365",Thar,2017,Diesel,7.72
28,Maruti,"30,480",S-Presso,2020,Petrol,4.50
29,Maruti,"76,734",Swift,2015,Diesel,3.76
30,Maruti,"86,294",Swift,2014,Diesel,4.11
31,Maruti,"39,781",Baleno,2017,Petrol,5.96
32,Maruti,"82,496",Ciaz,2019,Petrol,8.72
33,Hyundai,"45,716",Creta,2018,Petrol,8.99
34,Maruti,"72,880",Wagon,2011,Petrol,1.70
35,BMW,"85,000",X5,2015,Diesel,31.25
36,Ford,"70,000",Endeavour,2017,Diesel,24.60
37,Honda,"75,000",CR-V,2016,Petrol,11.51
38,Mahindra,"62,000",XUV500,2017,Diesel,11.00
39,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
40,Renault,"23,290",KWID,2017,Petrol,3.43
41,Tata,"96,177",Harrier,2019,Diesel,12.88
42,Maruti,"14,190",Alto,2018,Petrol,3.86
43,Maruti,"50,969",Celerio,2018,CNG,5.13
44,Honda,"26,736",Jazz,2017,Petrol,6.90
45,Maruti,"34,278",Baleno,2017,Petrol,6.53
46,Maruti,"33,206",Ciaz,2019,Petrol,9.34
47,Mahindra,"46,365",Thar,2017,Diesel,7.72
48,Maruti,"30,480",S-Presso,2020,Petrol,4.50
49,Maruti,"76,734",Swift,2015,Diesel,3.76
50,Maruti,"86,294",Swift,2014,Diesel,4.11
51,Maruti,"39,781",Baleno,2017,Petrol,5.96
52,Maruti,"82,496",Ciaz,2019,Petrol,8.72
53,Hyundai,"45,716",Creta,2018,Petrol,8.99
54,Maruti,"72,880",Wagon,2011,Petrol,1.70
55,BMW,"85,000",X5,2015,Diesel,31.25
56,Ford,"70,000",Endeavour,2017,Diesel,24.60
57,Honda,"75,000",CR-V,2016,Petrol,11.51
58,Mahindra,"62,000",XUV500,2017,Diesel,11.00
59,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
60,Renault,"23,290",KWID,2017,Petrol,3.43
61,Tata,"96,177",Harrier,2019,Diesel,12.88
62,Maruti,"14,190",Alto,2018,Petrol,3.86
63,Maruti,"50,969",Celerio,2018,CNG,5.13
64,Honda,"26,736",Jazz,2017,Petrol,6.90
65,Maruti,"34,278",Baleno,2017,Petrol,6.53
66,Maruti,"33,206",Ciaz,2019,Petrol,9.34
67,Mahindra,"46,365",Thar,2017,Diesel,7.72
68,Maruti,"30,480",S-Presso,2020,Petrol,4.50
69,Maruti,"76,734",Swift,2015,Diesel,3.76
70,Maruti,"86,294",Swift,2014,Diesel,4.11
71,Maruti,"39,781",Baleno,2017,Petrol,5.96
72,Maruti,"82,496",Ciaz,2019,Petrol,8.72
73,Hyundai,"45,716",Creta,2018,Petrol,8.99
74,Maruti,"72,880",Wagon,2011,Petrol,1.70
75,BMW,"85,000",X5,2015,Diesel,31.25
76,Ford,"70,000",Endeavour,2017,Diesel,24.60
77,Honda,"75,000",CR-V,2016,Petrol,11.51
78,Mahindra,"62,000",XUV500,2017,Diesel,11.00
